CLASSE_REELLE;PRED_ARBRE;PRED_SCORE
AGRICULTURE;AGRICULTURE;AGRICULTURE
AGRICULTURE;AGRICULTURE;AGRICULTURE
AGRICULTURE;AGRICULTURE;AGRICULTURE
AGRICULTURE;AGRICULTURE;AGRICULTURE
AGRICULTURE;AGRICULTURE;AGRICULTURE
AGRICULTURE;AGRICULTURE;AGRICULTURE
AGRICULTURE;AGRICULTURE;NATURE
AGRICULTURE;AGRICULTURE;AGRICULTURE
ARTIFICIALISE;ARTIFICIALISE;AGRICULTURE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
ARTIFICIALISE;ARTIFICIALISE;ARTIFICIALISE
BOIS;BOIS;BOIS
BOIS;BOIS;BOIS
BOIS;BOIS;BOIS
BOIS;BOIS;BOIS
BOIS;BOIS;BOIS
BOIS;AGRICULTURE;BOIS
BOIS;BOIS;BOIS
BOIS;BOIS;BOIS
BOIS;BOIS;BOIS
BOIS;ARTIFICIALISE;BOIS
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
EAU;EAU;EAU
NATURE;NATURE;NATURE
NATURE;NATURE;NATURE
NATURE;ARTIFICIALISE;NATURE
NATURE;ARTIFICIALISE;NATURE
NATURE;ARTIFICIALISE;NATURE
NATURE;ARTIFICIALISE;NATURE
NATURE;NATURE;NATURE
NATURE;ARTIFICIALISE;NATURE
NATURE;ARTIFICIALISE;NATURE
NATURE;ARTIFICIALISE;NATURE
